"DateTime","ESR Discharging","ESR Charging","Net Output"
"2026-04-12 00:00:00",554.696,-713.053,-158.357
"2026-04-12 00:05:00",501.812,-727.891,-226.079
"2026-04-12 00:10:00",453.281,-622.487,-169.206
"2026-04-12 00:15:00",516.325,-536.229,-19.904
"2026-04-12 00:20:00",534.696,-388.996,145.7
"2026-04-12 00:25:00",504.277,-268.565,235.713
"2026-04-12 00:30:00",527.279,-252.479,274.8
"2026-04-12 00:35:00",570.537,-210.325,360.212
"2026-04-12 00:40:00",837.064,-199.836,637.228
"2026-04-12 00:45:00",813.889,-225.074,588.815
"2026-04-12 00:50:00",664.804,-291.284,373.52
"2026-04-12 00:55:00",429.569,-369.672,59.898
"2026-04-12 01:00:00",224.258,-567.471,-343.212
"2026-04-12 01:05:00",154.294,-856.719,-702.425
"2026-04-12 01:10:00",148.816,-1175.723,-1026.908
"2026-04-12 01:15:00",89.336,-1280.278,-1190.942
"2026-04-12 01:20:00",62.498,-1405.297,-1342.799
"2026-04-12 01:25:00",101.242,-1421.037,-1319.794
"2026-04-12 01:30:00",171.183,-1353.992,-1182.809
"2026-04-12 01:35:00",120.065,-1305.762,-1185.697
"2026-04-12 01:40:00",56.069,-1319.23,-1263.162
"2026-04-12 01:45:00",35.092,-1480.292,-1445.199
"2026-04-12 01:50:00",98.971,-1336.045,-1237.074
"2026-04-12 01:55:00",413.231,-1238.874,-825.643
"2026-04-12 02:00:00",244.991,-1076.02,-831.029
"2026-04-12 02:05:00",45.386,-1112.826,-1067.439
"2026-04-12 02:10:00",142.796,-1265.781,-1122.986
"2026-04-12 02:15:00",201.408,-1225.299,-1023.891
"2026-04-12 02:20:00",92.792,-1189.104,-1096.312
"2026-04-12 02:25:00",30.725,-1243.257,-1212.532
"2026-04-12 02:30:00",52.899,-1191.596,-1138.698
"2026-04-12 02:35:00",19.183,-1184.473,-1165.29
"2026-04-12 02:40:00",33.232,-1230.233,-1197.002
"2026-04-12 02:45:00",13.266,-1346.982,-1333.716
"2026-04-12 02:50:00",27.521,-1452.482,-1424.96
"2026-04-12 02:55:00",52.537,-1480.775,-1428.238
"2026-04-12 03:00:00",47.069,-1494.164,-1447.095
"2026-04-12 03:05:00",33.851,-1399.691,-1365.84
"2026-04-12 03:10:00",37.574,-1213.397,-1175.823
"2026-04-12 03:15:00",7.208,-1079.003,-1071.795
"2026-04-12 03:20:00",63.577,-891.287,-827.71
"2026-04-12 03:25:00",104.692,-772.348,-667.657
"2026-04-12 03:30:00",35.666,-719.503,-683.837
"2026-04-12 03:35:00",45.038,-727.886,-682.847
"2026-04-12 03:40:00",44.119,-750.815,-706.696
"2026-04-12 03:45:00",117.757,-729.977,-612.22
"2026-04-12 03:50:00",67.006,-755.227,-688.221
"2026-04-12 03:55:00",20.273,-850.779,-830.505
"2026-04-12 04:00:00",16.857,-1004.237,-987.38
"2026-04-12 04:05:00",16.914,-999.418,-982.504
"2026-04-12 04:10:00",11.273,-989.618,-978.345
"2026-04-12 04:15:00",33.795,-879.351,-845.556
"2026-04-12 04:20:00",54.423,-683.26,-628.837
"2026-04-12 04:25:00",22.049,-542.166,-520.117
"2026-04-12 04:30:00",9.753,-658.626,-648.873
"2026-04-12 04:35:00",36.152,-700.173,-664.021
"2026-04-12 04:40:00",59.863,-649.879,-590.016
"2026-04-12 04:45:00",9.994,-800.853,-790.859
"2026-04-12 04:50:00",12.844,-1092.553,-1079.71
"2026-04-12 04:55:00",52.918,-1090.187,-1037.269
"2026-04-12 05:00:00",49.256,-1092.622,-1043.366
"2026-04-12 05:05:00",9.921,-1149.815,-1139.894
"2026-04-12 05:10:00",78.779,-928.872,-850.092
"2026-04-12 05:15:00",49.035,-922.056,-873.021
"2026-04-12 05:20:00",20.063,-793.933,-773.87
"2026-04-12 05:25:00",10.696,-981.764,-971.068
"2026-04-12 05:30:00",10.916,-1041.785,-1030.869
"2026-04-12 05:35:00",10.896,-944.603,-933.707
"2026-04-12 05:40:00",25.079,-995.513,-970.434
"2026-04-12 05:45:00",57.924,-1118.084,-1060.16
"2026-04-12 05:50:00",62.735,-1183.172,-1120.437
"2026-04-12 05:55:00",34.378,-1166.694,-1132.316
"2026-04-12 06:00:00",57.646,-1158.328,-1100.682
"2026-04-12 06:05:00",224.136,-997.231,-773.096
