DateTime,HSL Gen,LSL Gen
2026-03-20 00:00:05-0500,24073,-43840
2026-03-20 00:00:13-0500,24394,-43841
2026-03-20 00:00:25-0500,24068,-43860
2026-03-20 00:00:33-0500,24068,-43860
2026-03-20 00:00:45-0500,24062,-43895
2026-03-20 00:00:53-0500,24084,-43875
2026-03-20 00:01:05-0500,24079,-43893
2026-03-20 00:01:13-0500,24102,-43894
2026-03-20 00:01:25-0500,24099,-43910
2026-03-20 00:01:33-0500,24099,-43910
2026-03-20 00:01:45-0500,24109,-43893
2026-03-20 00:01:53-0500,24118,-43873
2026-03-20 00:02:05-0500,24117,-43899
2026-03-20 00:02:13-0500,24124,-43863
2026-03-20 00:02:25-0500,24111,-43893
2026-03-20 00:02:33-0500,24111,-43893
2026-03-20 00:02:45-0500,24081,-43941
2026-03-20 00:02:53-0500,24060,-43963
2026-03-20 00:03:05-0500,24064,-43963
2026-03-20 00:03:13-0500,24089,-43918
2026-03-20 00:03:25-0500,24076,-43913
2026-03-20 00:03:33-0500,24076,-43913
2026-03-20 00:03:45-0500,24057,-43930
2026-03-20 00:03:53-0500,24045,-43950
2026-03-20 00:04:05-0500,24035,-43978
2026-03-20 00:04:13-0500,23998,-43995
2026-03-20 00:04:25-0500,23958,-44033
2026-03-20 00:04:33-0500,23958,-44033
2026-03-20 00:04:45-0500,23900,-44064
2026-03-20 00:04:53-0500,23877,-44041
2026-03-20 00:05:05-0500,23904,-44056
2026-03-20 00:05:13-0500,23936,-44024
2026-03-20 00:05:25-0500,23928,-44007
2026-03-20 00:05:33-0500,23928,-44007
2026-03-20 00:05:45-0500,23929,-44015
2026-03-20 00:05:53-0500,23858,-44098
2026-03-20 00:06:05-0500,23813,-44100
2026-03-20 00:06:13-0500,23767,-44080
2026-03-20 00:06:25-0500,23775,-44070
2026-03-20 00:06:33-0500,23775,-44070
2026-03-20 00:06:45-0500,23800,-44001
2026-03-20 00:06:53-0500,23815,-43982
2026-03-20 00:07:05-0500,23803,-44002
2026-03-20 00:07:13-0500,23802,-44006
2026-03-20 00:07:25-0500,23800,-43997
2026-03-20 00:07:33-0500,23800,-43997
2026-03-20 00:07:45-0500,24221,-43935
2026-03-20 00:07:53-0500,23856,-43906
2026-03-20 00:08:05-0500,23848,-43911
2026-03-20 00:08:13-0500,23865,-43920
2026-03-20 00:08:25-0500,23870,-43915
2026-03-20 00:08:33-0500,23870,-43915
2026-03-20 00:08:45-0500,23879,-43909
2026-03-20 00:08:53-0500,23890,-43901
2026-03-20 00:09:05-0500,23874,-43903
2026-03-20 00:09:13-0500,23856,-43921
2026-03-20 00:09:25-0500,23837,-43928
2026-03-20 00:09:33-0500,23837,-43928
2026-03-20 00:09:45-0500,23807,-43953
2026-03-20 00:09:53-0500,23810,-43969
2026-03-20 00:10:05-0500,23789,-44011
2026-03-20 00:10:13-0500,23775,-44023
2026-03-20 00:10:25-0500,23786,-44005
2026-03-20 00:10:33-0500,23733,-44085
2026-03-20 00:10:45-0500,23694,-44148
2026-03-20 00:10:53-0500,23694,-44148
2026-03-20 00:11:05-0500,23677,-44157
2026-03-20 00:11:13-0500,23650,-44164
2026-03-20 00:11:25-0500,23665,-44180
2026-03-20 00:11:33-0500,23667,-44148
2026-03-20 00:11:45-0500,23625,-44196
2026-03-20 00:11:53-0500,23625,-44196
2026-03-20 00:12:05-0500,23659,-44177
2026-03-20 00:12:13-0500,23701,-44129
2026-03-20 00:12:25-0500,23709,-44119
2026-03-20 00:12:33-0500,23701,-44112
2026-03-20 00:12:45-0500,23655,-44142
2026-03-20 00:12:53-0500,23655,-44142
2026-03-20 00:13:05-0500,23650,-44165
2026-03-20 00:13:13-0500,23591,-44229
2026-03-20 00:13:25-0500,23589,-44242
